u,v,k,route_id
288760413,288760407,0,206
310416378,310416398,0,207
268829894,268662846,0,208
268829894,268662846,0,208
268829894,268662846,0,208
310416378,310416398,0,209
310416378,310416398,0,209
8945601333,354654927,0,210
292315137,292260663,0,211
8945601333,354654927,0,212
268662846,268829894,0,213
268662846,268829894,0,213
1412555491,584359459,0,214
584359459,710121694,0,214
710121694,584359459,0,214
310416378,310416398,0,215
310416398,310416378,0,215
638356284,615289109,0,216
638356284,615289109,0,216
292315137,292260663,0,217
292315137,292260663,0,217
309060444,309060449,0,218
584359459,710121694,0,219
623936833,623936834,0,220
623936834,623936833,0,220
317985207,8001547604,0,221
8001547604,317985207,0,221
290968199,291324772,0,222
290968199,268208617,0,223
290968199,268208617,0,223
268208616,3149566890,0,224
268208617,268208616,0,224
268208616,3149566890,0,225
291332005,268208616,0,225
402867330,286481347,0,226
268208617,268208616,0,227
268208616,268208617,0,227
8945601333,354654927,0,228
8945601333,288760407,0,228
288760413,288760407,0,228
288760413,288760407,0,228
288760413,288760407,0,228
288760407,288760413,0,228
288760407,288760413,0,228
288760413,288760407,0,228
288760413,288760407,0,228
288760413,288760407,0,228
288760407,288760413,0,228
288760413,288760407,0,228
1393974438,288760413,0,228
1393974438,288760413,0,228
1393974438,288760413,0,228
3804186869,1393974438,0,228
1393974438,3804186869,0,228
309060469,393747301,0,229
309060469,393747301,0,229
310220545,310420028,0,230
310420028,310220545,0,230
309060469,393747301,0,231
309060469,393747301,0,231
393747301,309060469,0,231
1412555463,354651812,0,232
354651812,1412555463,0,232
290968199,268208617,0,233
584359459,710121694,0,234
268662846,268829894,0,235
268662846,268829894,0,235
310416378,310416398,0,236
310416378,310416398,0,236
268208616,291332005,0,237
291332005,268208616,0,237
268208616,291332005,0,237
291332005,268208616,0,237
268662846,268829894,0,238
268662846,268829894,0,238
8934896891,6620854584,0,239
6620854584,8934896891,0,239
1412555463,1412555479,0,240
1412555479,310220562,0,240
310220562,1412555479,0,241
310220562,1412555479,0,241
310416378,310416398,0,242
310416378,310416398,0,242
268676330,435202749,0,243
8371871834,268676330,0,243
8371871834,6603439683,0,243
291880662,10214633698,0,244
10214633698,291880662,0,244
354651812,1412555463,0,245
1412555479,1412555463,0,245
292260666,8001547604,0,246
8001547605,8001547604,0,246
8001547605,292260659,0,246
435202749,268676330,0,247
1412555463,354651812,0,248
1412555463,354651812,0,248
623936834,623936833,0,249
638356284,9334706341,0,250
638356284,615289109,0,250
310416378,310416398,0,251
310416398,310416378,0,251
1670874045,1670874083,0,252
1670874083,1670874045,0,252
623936859,623936844,0,253
623936859,623936844,0,253
8001547605,292260659,0,254
310416398,310416378,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416398,310416378,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416398,310416378,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416378,310416398,0,255
310416398,312842757,0,255
310416411,312842757,0,255
312842757,310416411,0,255
312842757,310416411,0,255
312842757,310416411,0,255
312842757,310416411,0,255
