start_id,end_id,start_lat,start_lon,end_lat,end_lon,count
339354,660951,49.493002,8.470325,49.48275,8.463303,236
339468,339478,49.484576,8.459859,49.470261,8.482255,236
38930075,393329858,49.514029,8.527681,49.521503,8.525401,235
660943,4726808,49.474329,8.486944,49.473472,8.53399,235
28450596,148606240,49.479913,8.475652,49.484796,8.462552,235
30612250,148606240,49.4908,8.471387,49.484796,8.462552,234
339354,660978,49.493002,8.470325,49.508376,8.476054,234
660943,7853258,49.474329,8.486944,49.492344,8.482906,233
339472,30612231,49.48711,8.456876,49.500678,8.470904,233
339346,339349,49.497263,8.483832,49.498946,8.467224,233
30612231,148606240,49.500678,8.470904,49.484796,8.462552,232
339457,339475,49.489559,8.480297,49.47996,8.469749,232
339343,339462,49.49707,8.473044,49.489761,8.468437,232
339343,339487,49.49707,8.473044,49.485371,8.469493,231
4726808,30612140,49.473472,8.53399,49.47764,8.522075,231
339463,31471276,49.487956,8.466007,49.487604,8.471435,230
339475,660978,49.47996,8.469749,49.508376,8.476054,230
339475,146888993,49.47996,8.469749,49.48489,8.487298,230
339478,339485,49.470261,8.482255,49.478512,8.482561,230
339462,339468,49.489761,8.468437,49.484576,8.459859,229
339349,339472,49.498946,8.467224,49.48711,8.456876,229
660983,7853258,49.502211,8.465255,49.492344,8.482906,227
339472,58196617,49.48711,8.456876,49.476208,8.470888,227
339456,660978,49.490685,8.475705,49.508376,8.476054,226
58196617,364019650,49.476208,8.470888,49.477839,8.467814,226
30612225,30612231,49.497065,8.492131,49.500678,8.470904,226
339468,31471276,49.484576,8.459859,49.487604,8.471435,226
339456,339463,49.490685,8.475705,49.487956,8.466007,226
339464,339466,49.489012,8.462997,49.491183,8.462391,226
660951,27230822,49.48275,8.463303,49.485956,8.466076,225
30612264,31471276,49.485946,8.46215,49.487604,8.471435,225
339466,28450681,49.491183,8.462391,49.496424,8.47725,223
121376,660971,49.477082,8.463662,49.456695,8.481027,221
339463,660978,49.487956,8.466007,49.508376,8.476054,221
339350,30612225,49.506903,8.492206,49.497065,8.492131,220
660939,31471648,49.464913,8.475941,49.459715,8.487411,220
339485,364019650,49.478512,8.482561,49.477839,8.467814,220
339464,31471276,49.489012,8.462997,49.487604,8.471435,220
339343,339468,49.49707,8.473044,49.484576,8.459859,219
339354,31471276,49.493002,8.470325,49.487604,8.471435,219
339487,148606240,49.485371,8.469493,49.484796,8.462552,218
339485,30612225,49.478512,8.482561,49.497065,8.492131,217
339350,339472,49.506903,8.492206,49.48711,8.456876,217
339349,339352,49.498946,8.467224,49.497225,8.457751,216
30612203,30612240,49.4945,8.459644,49.499357,8.461822,216
339468,28450544,49.484576,8.459859,49.475967,8.483157,215
30612264,148606240,49.485946,8.46215,49.484796,8.462552,214
339461,28450544,49.485357,8.47665,49.475967,8.483157,214
339354,276163348,49.493002,8.470325,49.480781,8.469247,214
339465,339472,49.483245,8.474793,49.48711,8.456876,214
339472,7853258,49.48711,8.456876,49.492344,8.482906,214
339464,339468,49.489012,8.462997,49.484576,8.459859,214
339354,339456,49.493002,8.470325,49.490685,8.475705,214
27230822,276163348,49.485956,8.466076,49.480781,8.469247,214
121376,339463,49.477082,8.463662,49.487956,8.466007,213
339464,339487,49.489012,8.462997,49.485371,8.469493,213
339462,28450681,49.489761,8.468437,49.496424,8.47725,213
339475,27230961,49.47996,8.469749,49.478118,8.501873,213
339349,660951,49.498946,8.467224,49.48275,8.463303,213
339481,31471276,49.479502,8.495221,49.487604,8.471435,213
339463,28450544,49.487956,8.466007,49.475967,8.483157,211
339354,27230871,49.493002,8.470325,49.503921,8.477009,211
339456,31471276,49.490685,8.475705,49.487604,8.471435,211
339473,31471276,49.484705,8.463544,49.487604,8.471435,211
339354,29794323,49.493002,8.470325,49.501925,8.491123,210
339350,27230961,49.506903,8.492206,49.478118,8.501873,210
339350,276163348,49.506903,8.492206,49.480781,8.469247,209
339476,30612231,49.493448,8.458968,49.500678,8.470904,208
30612203,30612264,49.4945,8.459644,49.485946,8.46215,208
339349,339487,49.498946,8.467224,49.485371,8.469493,208
4726808,33282236,49.473472,8.53399,49.476138,8.505714,207
121376,30612264,49.477082,8.463662,49.485946,8.46215,207
339462,28450596,49.489761,8.468437,49.479913,8.475652,206
339346,30612203,49.497263,8.483832,49.4945,8.459644,206
339352,31471276,49.497225,8.457751,49.487604,8.471435,206
339476,30612240,49.493448,8.458968,49.499357,8.461822,206
339463,339473,49.487956,8.466007,49.484705,8.463544,206
31471276,58196168,49.487604,8.471435,49.479693,8.471489,205
339343,27230871,49.49707,8.473044,49.503921,8.477009,205
339354,339485,49.493002,8.470325,49.478512,8.482561,205
660974,148606240,49.494114,8.4676,49.484796,8.462552,205
339343,339352,49.49707,8.473044,49.497225,8.457751,204
339349,276163348,49.498946,8.467224,49.480781,8.469247,203
339462,30612264,49.489761,8.468437,49.485946,8.46215,203
339462,339466,49.489761,8.468437,49.491183,8.462391,202
339464,30612264,49.489012,8.462997,49.485946,8.46215,202
339456,58196168,49.490685,8.475705,49.479693,8.471489,202
660951,28455055,49.48275,8.463303,49.483335,8.480367,201
28450681,30612225,49.496424,8.47725,49.497065,8.492131,201
339478,276163348,49.470261,8.482255,49.480781,8.469247,199
30612250,31471276,49.4908,8.471387,49.487604,8.471435,199
339466,339476,49.491183,8.462391,49.493448,8.458968,199
121376,339475,49.477082,8.463662,49.47996,8.469749,198
339476,27230961,49.493448,8.458968,49.478118,8.501873,198
339354,28450596,49.493002,8.470325,49.479913,8.475652,198
339346,339459,49.497263,8.483832,49.487939,8.478742,197
339485,4915747,49.478512,8.482561,49.485698,8.473613,197
339485,660971,49.478512,8.482561,49.456695,8.481027,196
339354,339468,49.493002,8.470325,49.484576,8.459859,196
339346,339485,49.497263,8.483832,49.478512,8.482561,196
339472,58196168,49.48711,8.456876,49.479693,8.471489,195
339343,339465,49.49707,8.473044,49.483245,8.474793,195
28450681,30612264,49.496424,8.47725,49.485946,8.46215,194
339346,339472,49.497263,8.483832,49.48711,8.456876,194
31471276,364019650,49.487604,8.471435,49.477839,8.467814,194
660978,148606240,49.508376,8.476054,49.484796,8.462552,193
339468,28450596,49.484576,8.459859,49.479913,8.475652,192
339346,339462,49.497263,8.483832,49.489761,8.468437,192
339478,30612225,49.470261,8.482255,49.497065,8.492131,191
339468,33282192,49.484576,8.459859,49.489671,8.466929,190
